UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
AC;2019; 4.846.051.636,63 ;1,5%; 290.858.856,38 ; 102.962.922,64 ; 188.165.369,17 ; 40.606.246,57 ; 228.771.615,74 ;;;;;;;
AL;2019; 7.962.976.440,89 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
AP;2019; 4.854.795.872,77 ;1,5%; 207.564.582,65 ; 33.348.089,26 ; 175.729.524,17 ; 100.231.682,76 ; 275.961.206,93 ;;;;;;;
AM;2019; 13.222.390.940,79 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
BA;2019; 31.980.173.815,28 ;1,5%; 4.160.595.467,60 ; 240.459.217,03 ; 3.906.086.846,63 ; 1.084.087.195,30 ; 4.990.174.041,93 ;;;;;;;
CE;2019; 19.186.195.108,18 ;1,5%; 405.117.970,41 ; 193.327.810,04 ; 211.863.756,13 ; 265.653.345,45 ; 477.517.101,58 ;;;;;;;
DF;2019; 21.742.563.018,85 ;1,5%; 3.756.056.584,36 ; 829.202.219,87 ; 2.918.789.276,24 ; 177.779.569,37 ; 3.096.568.845,61 ;;;;;;;
ES;2019; 13.567.368.617,47 ;2,0%; -   ; -   ; -   ; -   ; -   ;;;;;;;
GO;2019; 21.298.254.079,91 ;1,5%; 3.272.059.748,70 ; 474.958.993,52 ; 2.826.247.934,37 ; 367.649.563,48 ; 3.193.897.497,85 ;;;;;;;
MA;2019; 13.294.049.568,66 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
MT;2019; 15.226.929.608,40 ;1,5%; 625.398.810,64 ; 31.363.400,55 ; 594.035.410,09 ; 437.764.886,27 ; 1.031.800.296,36 ;;;;;;;
MS;2019; 10.735.143.525,05 ;1,5%; 872.492.582,08 ; 304.986.693,61 ; 568.180.250,92 ; 48.501.841,93 ; 616.682.092,85 ;;;;;;;
MG;2019; 56.345.444.787,97 ;2,0%; 4.758.199.761,52 ; 386.980.104,35 ; 4.858.115.447,44 ; 525.785.407,92 ; 5.383.900.855,36 ;;;;;;;
PA;2019; 18.818.401.698,91 ;1,5%; 191.092.145,29 ; 74.041.686,54 ; 118.725.446,68 ; 40.298.824,35 ; 159.024.271,03 ;;;;;;;
PB;2019; 9.593.439.615,37 ;1,5%; 2.716.217.553,66 ; 80.306.763,12 ; 2.852.360.395,24 ; 51.772.154,24 ; 2.904.132.549,48 ;;;;;;;
PR;2019; 37.595.971.640,96 ;2,0%; 9.752.709.428,10 ; 1.351.573.465,82 ; 8.526.276.229,12 ; 536.818.107,98 ; 9.063.094.337,10 ;;;;;;;
PE;2019; 23.131.949.692,05 ;1,5%; 759.071.788,16 ; 328.284.501,44 ; 464.147.829,00 ; 64.017.934,56 ; 528.165.763,56 ;;;;;;;
PI;2019; 8.633.503.898,16 ;1,5%; 572.087.506,76 ; 55.815.751,20 ; 516.340.015,38 ; 1.115.100.101,16 ; 1.631.440.116,54 ;;;;;;;
RJ;2019; 58.290.777.944,00 ;2,0%; 3.590.406.884,39 ; 1.118.094.388,95 ; 4.033.470.026,56 ; 736.233.088,42 ; 4.769.703.114,98 ;;;;;;;
RN;2019; 9.188.713.245,25 ;1,5%; 811.533.636,98 ; 115.121.777,60 ; 752.502.095,11 ; 203.329.712,71 ; 955.831.807,82 ;;;;;;;
RS;2019; 37.773.288.193,39 ;2,0%; 14.459.537.185,36 ; 1.658.409.503,98 ; 12.825.197.464,98 ; 1.006.673.035,55 ; 13.831.870.500,53 ;;;;;;;
RO;2019; 6.943.539.791,00 ;1,5%; 2.182.265.946,87 ; 143.920.507,24 ; 2.157.421.410,21 ; 109.553.504,13 ; 2.266.974.914,34 ;;;;;;;
