UF;Ano;RCL;Perc_repasse;Saldo_dev_inicial;Montante_pago;Saldo_apos_pgmto;Montante_expedido;Saldo_dev_final;;
GO;2019;24.538.621.316,63;1,5000%;1.734.171.100,01;378.396.559,56;1.301.268.734,62;182.014.130,63;1.483.282.865,25;;
GO;2020;26.323.342.281,46;1,5000%;1.469.797.548,60;414.808.338,89;1.048.154.919,23;285.958.972,49;1.334.113.891,72;;
GO;2021;31.545.320.020,20;1,5000%;1.328.573.736,76;357.604.520,95;975.558.855,22;352.781.874,08;1.328.340.729,30;;
GO;2022;37.208.349.134,32;1,5000%;1.322.171.645,38;650.730.688,20;882.319.575,43;186.754.420,51;1.069.073.995,94;;
GO;2023;38.407.128.875,35;1,5000%;1.357.930.851,84;540.891.948,87;971.036.051,05;744.873.857,57;1.715.909.908,62;;
GO;2024;42.330.061.506,30;1,5000%;1.716.240.365,03;531.668.095,74;1.272.430.418,83;799.296.797,24;2.071.727.216,07;;
GO;2025;45.370.896.917,06;1,6492%;2.046.525.572,43;748.277.617,88;1.177.474.629,11;684.121.704,12;1.861.596.333,23;;
;;;;;;;;;;
;Fontes:;;;;;;;;;
;1.;https://paineisanalytics.cnj.jus.br/single/?appid=24bb0aae-4341-48e7-b3b5-3606607894c4&sheet=60a7540d-d58d-43af-a15e-fa179c7a5233&lang=pt-BR&opt=ctxmenu,currsel;;;;;;;;
;2.;"https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf;jsessionid=m43hsA9l1tmPRqsjg6-iSz-s.node2";;;;;;;;
;3.;https://transparencia.tjgo.jus.br/gestao-orcamentaria/precatorios/mapa-anual-cnj?page=1;;;;;;;;
